Date,Deaths_GOV,Deaths_JH,Diff_Deaths,Inc_Deaths_GOV,Inc_Deaths_JH,Diff_Inc_Deaths
2020-03-06,1,1,0,1,1,0
2020-03-07,2,2,0,1,1,0
2020-03-08,2,2,0,0,0,0
2020-03-09,3,3,0,1,1,0
2020-03-10,7,7,0,4,4,0
2020-03-11,7,7,0,0,0,0
2020-03-12,9,9,0,2,2,0
2020-03-13,10,10,0,1,1,0
2020-03-14,28,28,0,18,18,0
2020-03-15,43,43,0,15,15,0
2020-03-16,65,65,0,22,22,0
2020-03-17,81,81,0,16,16,0
2020-03-18,115,115,0,34,34,0
2020-03-19,158,158,0,43,43,0
2020-03-20,194,194,0,36,36,0
2020-03-21,250,250,0,56,56,0
2020-03-22,285,285,0,35,35,0
2020-03-23,359,359,0,74,74,0
2020-03-24,508,508,0,149,149,0
2020-03-25,695,695,0,187,187,0
2020-03-26,878,878,0,183,183,0
2020-03-27,1162,1162,0,284,284,0
2020-03-28,1456,1456,0,294,294,0
2020-03-29,1670,1670,0,214,214,0
2020-03-30,2044,2044,0,374,374,0
2020-03-31,2426,2426,0,382,382,0
2020-04-01,3096,3096,0,670,670,0
2020-04-02,3748,3748,0,652,652,0
2020-04-03,4462,4462,0,714,714,0
2020-04-04,5222,5222,0,760,760,0
2020-04-05,5866,5866,0,644,644,0
2020-04-06,6434,6434,0,568,568,0
2020-04-07,7472,7472,0,1038,1038,0
2020-04-08,8506,8506,0,1034,1034,0
2020-04-09,9616,9616,0,1110,1110,0
2020-04-10,10768,10768,0,1152,1152,0
2020-04-11,11608,11608,0,840,840,0
2020-04-12,12294,12294,0,686,686,0
2020-04-13,13038,13038,0,744,744,0
2020-04-14,14085,14085,0,1047,1047,0
2020-04-15,14927,14927,0,842,842,0
2020-04-16,15956,15956,0,1029,1029,0
2020-04-17,16892,16892,0,936,936,0
2020-04-18,18007,18007,0,1115,1115,0
2020-04-19,18505,18505,0,498,498,0
2020-04-20,19064,19064,0,559,559,0
2020-04-21,20237,20237,0,1173,1173,0
2020-04-22,21074,21074,0,837,837,0
2020-04-23,21801,21801,0,727,727,0
2020-04-24,22807,22807,0,1006,1006,0
2020-04-25,23650,23650,0,843,843,0
2020-04-26,24070,24070,0,420,420,0
2020-04-27,24408,24408,0,338,338,0
2020-04-28,25319,25319,0,911,911,0
2020-04-29,26114,26114,0,795,795,0
2020-04-30,26788,26788,0,674,674,0
2020-05-01,27528,27528,0,740,740,0
2020-05-02,28149,28149,0,621,621,0
2020-05-03,28464,28464,0,315,315,0
2020-05-04,28752,28752,0,288,288,0
2020-05-05,29446,29446,0,694,694,0
2020-05-06,30098,30098,0,652,652,0
2020-05-07,30638,30638,0,540,540,0
2020-05-08,31265,31265,0,627,627,0
2020-05-09,31610,31610,0,345,345,0
2020-05-10,31879,31879,0,269,269,0
2020-05-11,32090,32090,0,211,211,0
2020-05-12,32720,32720,0,630,630,0
2020-05-13,33216,33216,0,496,496,0
2020-05-14,33644,33644,0,428,428,0
2020-05-15,34028,34028,0,384,384,0
2020-05-16,34508,34508,0,480,480,0
