Date,Deaths_GOV,Deaths_JH,Diff_Deaths,Inc_Deaths_GOV,Inc_Deaths_JH,Diff_Inc_Deaths
2020-01-05,NA,NA,NA,0,NA,NA
2020-01-06,NA,NA,NA,0,NA,NA
2020-01-07,NA,NA,NA,0,NA,NA
2020-01-08,NA,NA,NA,0,NA,NA
2020-01-09,NA,NA,NA,0,NA,NA
2020-01-10,NA,NA,NA,0,NA,NA
2020-01-11,NA,NA,NA,0,NA,NA
2020-01-12,NA,NA,NA,0,NA,NA
2020-01-13,NA,NA,NA,0,NA,NA
2020-01-14,NA,NA,NA,0,NA,NA
2020-01-15,NA,NA,NA,0,NA,NA
2020-01-16,NA,NA,NA,0,NA,NA
2020-01-17,NA,NA,NA,0,NA,NA
2020-01-18,NA,NA,NA,0,NA,NA
2020-01-19,NA,NA,NA,0,NA,NA
2020-01-20,NA,NA,NA,0,NA,NA
2020-01-21,NA,NA,NA,0,NA,NA
2020-01-22,NA,0,NA,0,NA,NA
2020-01-23,NA,0,NA,0,0,0
2020-01-24,NA,0,NA,0,0,0
2020-01-25,NA,0,NA,0,0,0
2020-01-26,NA,0,NA,0,0,0
2020-01-27,NA,0,NA,0,0,0
2020-01-28,NA,0,NA,0,0,0
2020-01-29,NA,0,NA,0,0,0
2020-01-30,NA,0,NA,0,0,0
2020-01-31,NA,0,NA,0,0,0
2020-02-01,NA,0,NA,0,0,0
2020-02-02,NA,0,NA,0,0,0
2020-02-03,NA,0,NA,0,0,0
2020-02-04,NA,0,NA,0,0,0
2020-02-05,NA,0,NA,0,0,0
2020-02-06,NA,0,NA,0,0,0
2020-02-07,NA,0,NA,0,0,0
2020-02-08,NA,0,NA,0,0,0
2020-02-09,NA,0,NA,0,0,0
2020-02-10,NA,0,NA,0,0,0
2020-02-11,NA,0,NA,0,0,0
2020-02-12,NA,0,NA,0,0,0
2020-02-13,NA,0,NA,0,0,0
2020-02-14,NA,0,NA,0,0,0
2020-02-15,NA,0,NA,0,0,0
2020-02-16,NA,0,NA,0,0,0
2020-02-17,NA,0,NA,0,0,0
2020-02-18,NA,0,NA,0,0,0
2020-02-19,NA,0,NA,0,0,0
2020-02-20,NA,0,NA,0,0,0
2020-02-21,NA,0,NA,0,0,0
2020-02-22,NA,0,NA,0,0,0
2020-02-23,NA,0,NA,0,0,0
2020-02-24,NA,0,NA,0,0,0
2020-02-25,NA,0,NA,0,0,0
2020-02-26,NA,0,NA,0,0,0
2020-02-27,NA,0,NA,0,0,0
2020-02-28,NA,0,NA,0,0,0
2020-02-29,NA,0,NA,0,0,0
2020-03-01,NA,0,NA,0,0,0
2020-03-02,NA,0,NA,0,0,0
2020-03-03,NA,0,NA,0,0,0
2020-03-04,NA,0,NA,0,0,0
2020-03-05,NA,0,NA,0,0,0
2020-03-06,1,1,0,1,1,0
2020-03-07,2,2,0,1,1,0
2020-03-08,2,2,0,0,0,0
2020-03-09,3,3,0,1,1,0
2020-03-10,7,7,0,4,4,0
2020-03-11,7,7,0,0,0,0
2020-03-12,9,9,0,2,2,0
2020-03-13,10,10,0,1,1,0
2020-03-14,29,28,-1,18,18,0
2020-03-15,43,43,0,14,15,1
2020-03-16,65,65,0,22,22,0
2020-03-17,82,81,-1,16,16,0
2020-03-18,116,115,-1,34,34,0
2020-03-19,162,158,-4,45,43,-2
2020-03-20,194,194,0,32,36,4
2020-03-21,252,250,-2,58,56,-2
2020-03-22,288,285,-3,36,35,-1
2020-03-23,364,359,-5,76,74,-2
2020-03-24,512,508,-4,148,149,1
2020-03-25,703,695,-8,191,187,-4
2020-03-26,884,878,-6,181,183,2
2020-03-27,1172,1162,-10,288,284,-4
2020-03-28,1464,1456,-8,292,294,2
2020-03-29,1676,1670,-6,212,214,2
2020-03-30,2050,2044,-6,374,374,0
2020-03-31,2453,2426,-27,403,382,-21
2020-04-01,3125,3096,-29,672,670,-2
2020-04-02,3782,3748,-34,657,652,-5
2020-04-03,4518,4462,-56,736,714,-22
2020-04-04,5274,5222,-52,756,760,4
2020-04-05,5873,5866,-7,599,644,45
2020-04-06,6440,6434,-6,567,568,1
2020-04-07,7545,7472,-73,1105,1038,-67
2020-04-08,8575,8506,-69,1030,1034,4
2020-04-09,9692,9616,-76,1117,1110,-7
2020-04-10,10816,10768,-48,1124,1152,28
2020-04-11,11660,11608,-52,844,840,-4
2020-04-12,12318,12294,-24,658,686,28
2020-04-13,13042,13038,-4,724,744,20
2020-04-14,14119,14085,-34,1077,1047,-30
2020-04-15,15000,14927,-73,881,842,-39
2020-04-16,16037,15956,-81,1037,1029,-8
2020-04-17,16951,16892,-59,914,936,22
2020-04-18,18058,18007,-51,1107,1115,8
2020-04-19,18492,18505,13,434,498,64
2020-04-20,19065,19064,-1,573,559,-14
2020-04-21,20293,20237,-56,1228,1173,-55
2020-04-22,21154,21074,-80,861,837,-24
2020-04-23,21843,21801,-42,689,727,38
2020-04-24,22855,22807,-48,1012,1006,-6
2020-04-25,23679,23650,-29,824,843,19
2020-04-26,24059,24070,11,380,420,40
2020-04-27,24396,24408,12,337,338,1
2020-04-28,25374,25319,-55,978,911,-67
2020-04-29,26169,26114,-55,795,795,0
2020-04-30,26820,26788,-32,651,674,23
2020-05-01,27549,27528,-21,729,740,11
2020-05-02,28167,28149,-18,618,621,3
2020-05-03,28443,28464,21,276,315,39
2020-05-04,28725,28752,27,282,288,6
2020-05-05,29468,29446,-22,743,694,-49
2020-05-06,30152,30098,-54,684,652,-32
2020-05-07,30657,30638,-19,505,540,35
2020-05-08,31273,31265,-8,616,627,11
2020-05-09,31599,31610,11,326,345,19
2020-05-10,31843,31879,36,244,269,25
2020-05-11,32046,32090,44,203,211,8
2020-05-12,32727,32720,-7,681,630,-51
2020-05-13,33224,33216,-8,497,496,-1
2020-05-14,33624,33644,20,400,428,28
2020-05-15,34029,34028,-1,405,384,-21
2020-05-16,34491,34508,17,462,480,18
2020-05-17,34628,34678,50,137,170,33
2020-05-18,34784,34838,54,156,160,4
2020-05-19,35358,35386,28,574,548,-26
2020-05-20,35746,35755,9,388,369,-19
2020-05-21,36073,36093,20,327,338,11
2020-05-22,36414,36451,37,341,358,17
2020-05-23,36687,36734,47,273,283,10
2020-05-24,37121,37175,54,434,441,7
2020-05-25,37244,37297,53,123,122,-1
2020-05-26,37387,37433,46,143,136,-7
2020-05-27,37825,37876,51,438,443,5
2020-05-28,38240,38292,52,415,416,1
2020-05-29,38617,38665,48,377,373,-4
2020-05-30,38852,38895,43,235,230,-5
2020-05-31,38954,39010,56,102,115,13
2020-06-01,39057,39121,64,103,111,8
2020-06-02,39395,39447,52,338,326,-12
2020-06-03,39765,39812,47,370,365,-5
2020-06-04,39933,39989,56,168,177,9
2020-06-05,40295,40347,52,362,358,-4
2020-06-06,40494,40554,60,199,207,8
2020-06-07,40564,40631,67,70,77,7
2020-06-08,40619,40686,67,55,55,0
2020-06-09,40915,40975,60,296,289,-7
2020-06-10,41170,41225,55,255,250,-5
2020-06-11,41316,41377,61,146,152,6
2020-06-12,41518,41581,63,202,204,2
2020-06-13,41704,41764,60,186,183,-3
2020-06-14,41734,41800,66,30,36,6
2020-06-15,41771,41838,67,37,38,1
2020-06-16,42012,42074,62,241,236,-5
2020-06-17,42200,42258,58,188,184,-4
2020-06-18,42329,42395,66,129,137,8
2020-06-19,42507,42568,61,178,173,-5
2020-06-20,42633,42698,65,126,130,4
2020-06-21,42673,42741,68,40,43,3
2020-06-22,42688,42756,68,15,15,0
2020-06-23,42864,42927,63,176,171,-5
2020-06-24,43018,43081,63,154,154,0
2020-06-25,43164,43230,66,146,149,3
2020-06-26,43347,43414,67,185,184,-1
2020-06-27,43447,43514,67,100,100,0
2020-06-28,43483,43550,67,36,36,0
2020-06-29,43508,43575,67,25,25,0
2020-06-30,43665,43730,65,157,155,-2
2020-07-01,43839,43906,67,174,176,2
2020-07-02,43929,43995,66,90,89,-1
2020-07-03,44066,44131,65,138,136,-2
2020-07-04,44130,44198,68,64,67,3
2020-07-05,44152,44220,68,22,22,0
2020-07-06,44168,44236,68,16,16,0
2020-07-07,44324,44391,67,156,155,-1
2020-07-08,44450,44517,67,126,126,0
2020-07-09,44534,44602,68,84,85,1
2020-07-10,44629,44650,21,95,48,-47
2020-07-11,44730,44798,68,101,148,47
2020-07-12,44751,44819,68,21,21,0
2020-07-13,44764,44830,66,13,11,-2
2020-07-14,44900,44968,68,136,138,2
2020-07-15,44984,45053,69,84,85,1
2020-07-16,45051,45119,68,67,66,-1
2020-07-17,45164,45233,69,113,114,1
2020-07-18,45204,45273,69,40,40,0
2020-07-19,45232,45300,68,28,27,-1
2020-07-20,45243,45312,69,11,12,1
2020-07-21,45353,45422,69,110,110,0
2020-07-22,45432,45501,69,79,79,0
2020-07-23,45485,45554,69,53,53,0
2020-07-24,45608,45677,69,123,123,0
2020-07-25,45669,45738,69,61,61,0
